product_id,LGBMRegressor,XGBRegressor,LinearRegression,AutoETS,AutoARIMA,y,NP,NHITS,NBEATS,PatchTST,TFT,TimesNet
1280393 ,250 ,221 ,279 ,219 ,205 ,183 ,211 ,190 ,220 ,228 ,229 ,195 
1024172 ,246 ,153 ,341 ,40 ,134 ,180 ,188 ,137 ,142 ,112 ,307 ,298 
1276627 ,302 ,260 ,257 ,281 ,277 ,179 ,218 ,224 ,232 ,222 ,229 ,310 
1332667 ,202 ,171 ,228 ,195 ,195 ,179 ,182 ,190 ,202 ,206 ,209 ,197 
1332622 ,237 ,550 ,238 ,146 ,144 ,174 ,141 ,136 ,146 ,144 ,149 ,162 
1001916 ,323 ,178 ,395 ,147 ,126 ,171 ,279 ,184 ,219 ,203 ,259 ,306 
1277243 ,177 ,213 ,190 ,132 ,136 ,170 ,140 ,103 ,112 ,59 ,133 ,181 
1034408 ,302 ,260 ,265 ,140 ,218 ,169 ,211 ,163 ,209 ,209 ,211 ,264 
1277238 ,243 ,228 ,250 ,202 ,256 ,166 ,162 ,209 ,224 ,217 ,218 ,282 
1274111 ,481 ,1199 ,407 ,464 ,515 ,163 ,497 ,168 ,243 ,237 ,835 ,893 
1331834 ,173 ,146 ,189 ,162 ,166 ,161 ,131 ,133 ,149 ,140 ,144 ,166 
1017110 ,239 ,101 ,407 ,120 ,115 ,160 ,95 ,144 ,150 ,118 ,118 ,155 
1035307 ,314 ,296 ,308 ,325 ,327 ,160 ,272 ,282 ,276 ,264 ,316 ,420 
1332659 ,232 ,190 ,259 ,160 ,175 ,159 ,163 ,178 ,184 ,141 ,210 ,236 
1045510 ,302 ,258 ,272 ,303 ,301 ,158 ,232 ,219 ,224 ,200 ,270 ,367 
1025025 ,256 ,119 ,313 ,107 ,87 ,157 ,122 ,91 ,125 ,65 ,150 ,300 
1280452 ,143 ,124 ,158 ,99 ,98 ,150 ,139 ,109 ,119 ,111 ,110 ,133 
1036957 ,235 ,267 ,204 ,150 ,158 ,148 ,113 ,102 ,124 ,124 ,157 ,199 
1032697 ,250 ,176 ,237 ,268 ,108 ,146 ,224 ,181 ,153 ,185 ,168 ,520 
1278991 ,232 ,229 ,233 ,240 ,239 ,145 ,204 ,199 ,210 ,218 ,201 ,250 
1024115 ,236 ,174 ,265 ,76 ,63 ,143 ,120 ,78 ,101 ,83 ,145 ,196 
1031482 ,291 ,221 ,381 ,282 ,252 ,141 ,222 ,202 ,227 ,215 ,301 ,387 
1041361 ,236 ,230 ,217 ,167 ,190 ,141 ,170 ,159 ,164 ,175 ,217 ,212 
1277160 ,153 ,136 ,188 ,155 ,149 ,141 ,123 ,129 ,143 ,141 ,152 ,156 
1273362 ,232 ,170 ,200 ,212 ,218 ,139 ,144 ,163 ,160 ,161 ,215 ,280 
1031483 ,360 ,377 ,431 ,306 ,306 ,138 ,316 ,335 ,337 ,329 ,365 ,559 
1332184 ,138 ,117 ,155 ,106 ,106 ,135 ,105 ,108 ,114 ,117 ,104 ,108 
1031478 ,272 ,240 ,331 ,124 ,203 ,133 ,211 ,215 ,226 ,214 ,249 ,279 
1332860 ,194 ,173 ,174 ,116 ,116 ,127 ,118 ,115 ,133 ,89 ,124 ,194 
1274700 ,268 ,260 ,270 ,319 ,370 ,125 ,309 ,315 ,301 ,299 ,308 ,418 
1277239 ,272 ,266 ,252 ,224 ,224 ,125 ,167 ,206 ,228 ,219 ,216 ,296 
1001918 ,267 ,573 ,173 ,86 ,28 ,124 ,121 ,41 ,58 ,28 ,103 ,154 
1332642 ,201 ,152 ,197 ,118 ,121 ,124 ,122 ,122 ,121 ,95 ,191 ,161 
1276633 ,233 ,229 ,195 ,182 ,181 ,121 ,133 ,116 ,142 ,126 ,160 ,233 
1280395 ,238 ,184 ,277 ,259 ,228 ,121 ,206 ,175 ,197 ,223 ,229 ,183 
1333116 ,107 ,69 ,139 ,86 ,83 ,116 ,95 ,90 ,73 ,97 ,67 ,66 
1276625 ,203 ,185 ,213 ,183 ,182 ,115 ,158 ,151 ,169 ,173 ,177 ,195 
1333338 ,24 ,35 ,93 ,34 ,33 ,113 ,33 ,33 ,35 ,36 ,32 ,32 
1278519 ,79 ,44 ,126 ,77 ,72 ,111 ,76 ,76 ,92 ,70 ,76 ,106 
1279091 ,154 ,140 ,183 ,128 ,128 ,111 ,136 ,121 ,146 ,136 ,149 ,139 
1276632 ,220 ,206 ,245 ,208 ,208 ,110 ,203 ,206 ,214 ,214 ,216 ,250 
1277159 ,147 ,125 ,186 ,153 ,126 ,109 ,131 ,100 ,121 ,141 ,145 ,121 
1277242 ,302 ,260 ,265 ,230 ,263 ,109 ,266 ,191 ,225 ,138 ,239 ,455 
1277244 ,180 ,194 ,210 ,159 ,167 ,109 ,131 ,170 ,175 ,163 ,169 ,249 
1276631 ,206 ,196 ,224 ,208 ,197 ,107 ,157 ,157 ,178 ,174 ,193 ,227 
1279883 ,142 ,124 ,181 ,138 ,137 ,105 ,133 ,135 ,146 ,145 ,143 ,126 
1028595 ,246 ,158 ,299 ,132 ,139 ,104 ,139 ,119 ,135 ,123 ,185 ,192 
1277162 ,155 ,130 ,156 ,99 ,99 ,104 ,93 ,93 ,99 ,103 ,104 ,116 
1045508 ,162 ,136 ,163 ,152 ,116 ,103 ,125 ,120 ,135 ,152 ,132 ,179 
1277157 ,172 ,140 ,195 ,186 ,185 ,103 ,155 ,153 ,162 ,163 ,204 ,217 
1280941 ,30 ,54 ,99 ,51 ,25 ,101 ,32 ,31 ,20 ,39 ,53 ,39 
1045520 ,229 ,240 ,238 ,181 ,149 ,100 ,211 ,193 ,187 ,171 ,260 ,303 
1277158 ,164 ,140 ,206 ,176 ,176 ,99 ,150 ,171 ,169 ,170 ,168 ,186 
1277255 ,148 ,146 ,148 ,114 ,116 ,99 ,113 ,85 ,98 ,95 ,134 ,128 
1280692 ,138 ,78 ,147 ,96 ,96 ,97 ,104 ,87 ,93 ,108 ,94 ,92 
1334526 ,110 ,78 ,131 ,87 ,87 ,97 ,68 ,72 ,79 ,80 ,81 ,71 
1031481 ,243 ,322 ,222 ,75 ,246 ,95 ,173 ,117 ,112 ,104 ,227 ,309 
1019303 ,219 ,154 ,173 ,47 ,74 ,94 ,65 ,47 ,57 ,53 ,65 ,103 
1279090 ,141 ,123 ,133 ,102 ,100 ,94 ,81 ,78 ,93 ,84 ,85 ,120 
1332654 ,232 ,223 ,172 ,91 ,89 ,93 ,123 ,62 ,72 ,90 ,113 ,146 
1001126 ,256 ,103 ,307 ,136 ,189 ,91 ,114 ,80 ,91 ,57 ,155 ,121 
1280946 ,105 ,74 ,133 ,82 ,79 ,88 ,109 ,83 ,85 ,88 ,61 ,97 
1273608 ,237 ,170 ,212 ,123 ,123 ,84 ,114 ,79 ,110 ,97 ,147 ,133 
1279249 ,143 ,145 ,138 ,84 ,92 ,82 ,88 ,50 ,71 ,50 ,104 ,108 
1035884 ,67 ,73 ,111 ,48 ,47 ,76 ,52 ,42 ,56 ,57 ,62 ,71 
1035926 ,291 ,362 ,254 ,215 ,215 ,75 ,140 ,87 ,113 ,141 ,152 ,164 
1337539 ,21 ,40 ,86 ,46 ,46 ,75 ,45 ,24 ,32 ,34 ,46 ,48 
1280940 ,107 ,90 ,147 ,71 ,82 ,74 ,89 ,81 ,89 ,95 ,63 ,73 
1278520 ,67 ,95 ,113 ,43 ,43 ,71 ,68 ,71 ,94 ,79 ,83 ,63 
1280441 ,67 ,98 ,116 ,58 ,58 ,71 ,62 ,49 ,52 ,34 ,86 ,93 
1280507 ,56 ,44 ,118 ,68 ,68 ,71 ,65 ,70 ,74 ,73 ,71 ,84 
1332865 ,46 ,25 ,116 ,73 ,73 ,64 ,65 ,55 ,64 ,68 ,61 ,69 
1035885 ,116 ,91 ,135 ,60 ,53 ,63 ,49 ,61 ,70 ,66 ,66 ,83 
1028428 ,187 ,158 ,165 ,59 ,59 ,62 ,53 ,38 ,52 ,35 ,66 ,106 
1279092 ,92 ,86 ,125 ,60 ,54 ,59 ,56 ,52 ,55 ,68 ,55 ,59 
1333149 ,46 ,32 ,111 ,63 ,69 ,48 ,58 ,65 ,65 ,69 ,45 ,61 
1333141 ,24 ,35 ,94 ,43 ,42 ,43 ,38 ,40 ,41 ,42 ,38 ,45 
1279805 ,24 ,69 ,102 ,46 ,46 ,42 ,49 ,55 ,56 ,55 ,63 ,63 
1333262 ,50 ,63 ,113 ,47 ,34 ,37 ,52 ,49 ,53 ,58 ,55 ,45 
1024209 ,682 ,758 ,160 ,26 ,34 ,35 ,29 ,45 ,49 ,23 ,41 ,100 
1331902 ,14 ,23 ,76 ,19 ,14 ,27 ,24 ,15 ,16 ,18 ,23 ,15 
1280889 ,41 ,59 ,99 ,25 ,34 ,22 ,38 ,37 ,29 ,41 ,46 ,28 
1280430 ,41 ,59 ,106 ,43 ,48 ,21 ,38 ,43 ,28 ,49 ,28 ,33 
1333267 ,32 ,73 ,82 ,24 ,18 ,21 ,23 ,28 ,30 ,29 ,29 ,25 
1280631 ,24 ,67 ,101 ,37 ,42 ,20 ,55 ,47 ,57 ,50 ,63 ,63 
1280890 ,11 ,59 ,76 ,21 ,21 ,15 ,16 ,15 ,16 ,17 ,14 ,15 
1045782 ,5 ,24 ,71 ,12 ,12 ,7 ,0 ,11 ,13 ,12 ,12 ,13 
