unique_id,ds,cutoff,NHITS,NBEATS,PatchTST,TFT,Informer,TimesNet,cluster,y_
1024046,2024/1/31,2023/10/31,244.05841,265.51587,313.77872,276.61182,6.331344,371.22296,,46
1024047,2023/11/30,2023/10/31,167.5775,205.96387,206.89317,174.8883,5.7665634,360.96057,,83
1024047,2023/12/31,2023/10/31,208.35184,217.92096,309.50873,173.8125,6.356246,436.15454,,36
1024047,2024/1/31,2023/10/31,234.8826,232.2044,298.59787,171.6849,6.343665,370.1839,,72
1024049,2023/11/30,2023/10/31,26.817019,49.06543,54.94525,71.49834,6.0856752,54.293076,,53
1024049,2023/12/31,2023/10/31,29.77668,47.612225,62.11607,71.35568,6.3064017,53.193424,,37
1024049,2024/1/31,2023/10/31,33.252213,48.88525,64.510735,71.45045,6.1165247,69.32994,,56
1024107,2023/11/30,2023/10/31,157.40103,176.0127,124.852135,161.04822,6.178905,142.50453,,81
1024107,2023/12/31,2023/10/31,206.63266,217.24574,194.70529,167.13757,5.9930882,220.14911,,396
1024107,2024/1/31,2023/10/31,223.06342,237.50496,170.31097,172.49896,6.3375826,335.9773,,598
1024108,2023/11/30,2023/10/31,219.97562,250.025,227.37961,312.19644,6.17798,345.21414,,169
1024108,2023/12/31,2023/10/31,271.42197,279.72516,282.25555,316.62128,5.9551997,342.40005,,411
1024108,2024/1/31,2023/10/31,294.70758,300.57446,277.58627,320.65607,6.3400292,420.09366,,566
1024109,2023/11/30,2023/10/31,160.59735,186.91428,166.80815,307.53125,6.220067,269.13892,,92
1024109,2023/12/31,2023/10/31,195.86226,206.44118,195.20326,314.2226,5.91851,275.2287,,108
1024109,2024/1/31,2023/10/31,210.5563,228.29578,215.32263,320.35913,6.3094697,193.70793,,203
1024110,2023/11/30,2023/10/31,494.6591,573.04614,537.06683,1032.4052,6.115892,1352.9565,,351
1024110,2023/12/31,2023/10/31,617.34924,627.3452,611.78265,1055.4155,6.0164857,1662.8816,,477
1024110,2024/1/31,2023/10/31,659.2512,688.2908,716.1307,1076.4241,6.1576796,1030.228,,789
1024112,2023/11/30,2023/10/31,89.852715,104.81088,83.58361,182.92033,6.2682867,195.51138,,53
1024112,2023/12/31,2023/10/31,113.68703,120.39688,124.87166,186.57947,5.9525723,220.82376,,121
1024112,2024/1/31,2023/10/31,122.28319,132.72227,124.30815,189.93329,6.3072624,139.32312,,168
1024113,2023/11/30,2023/10/31,115.27875,138.86234,125.027176,232.68326,6.2824607,229.31844,,96
1024113,2023/12/31,2023/10/31,153.84222,161.06131,156.9176,236.56982,5.9506216,203.11943,,177
1024113,2024/1/31,2023/10/31,170.4851,181.24213,161.14357,240.20276,6.328431,265.05084,,236
1024114,2023/11/30,2023/10/31,74.97062,88.72086,76.57437,179.32202,6.23168,141.2497,,74
1024114,2023/12/31,2023/10/31,95.72066,102.19129,102.434845,181.88551,5.939031,152.08508,,96
1024114,2024/1/31,2023/10/31,103.97796,115.002815,96.940704,184.17923,6.3181477,159.849,,114
1024115,2023/11/30,2023/10/31,23.77319,31.683372,32.078026,43.45823,5.8393354,66.513855,,24
1024115,2023/12/31,2023/10/31,27.652966,30.92937,44.54621,45.971222,6.0325603,82.50518,,33
