product_id,start_date,fcst_value
1038832,2024-01-01,9.0
1038832,2024-02-01,9.0
1274097,2023-12-01,88.0
1274097,2024-01-01,88.0
1274097,2024-02-01,88.0
1034603,2023-12-01,46.0
1034603,2024-01-01,48.0
1034603,2024-02-01,49.0
1036592,2023-12-01,370.0
1036592,2024-01-01,375.0
1036592,2024-02-01,378.0
1017618,2023-12-01,213.0
1017618,2024-01-01,204.0
1017618,2024-02-01,203.0
1043244,2023-12-01,0.0
1043244,2024-01-01,0.0
1043244,2024-02-01,0.0
1043245,2023-12-01,90.0
1043245,2024-01-01,55.0
1043245,2024-02-01,71.0
1041233,2023-12-01,0.0
1041233,2024-01-01,0.0
1041233,2024-02-01,0.0
1041237,2023-12-01,0.0
1041237,2024-01-01,0.0
1041237,2024-02-01,0.0
1279015,2023-12-01,90.0
1279015,2024-01-01,87.0
1279015,2024-02-01,88.0
1027166,2023-12-01,223.0
1027166,2024-01-01,220.0
1027166,2024-02-01,206.0
1000773,2023-12-01,229.0
1000773,2024-01-01,240.0
1000773,2024-02-01,238.0
1024341,2023-12-01,43.0
1024341,2024-01-01,50.0
1024341,2024-02-01,59.0
1024343,2023-12-01,0.0
1024343,2024-01-01,0.0
1024343,2024-02-01,0.0
1032033,2023-12-01,276.0
1032033,2024-01-01,281.0
1032033,2024-02-01,301.0
1038833,2023-12-01,9.0
1038833,2024-01-01,10.0
1038833,2024-02-01,10.0
1276649,2023-12-01,57.0
1276649,2024-01-01,51.0
1276649,2024-02-01,47.0
1045083,2023-12-01,437.0
1045083,2024-01-01,458.0
1045083,2024-02-01,451.0
1071818,2023-12-01,0.0
1071818,2024-01-01,0.0
1071818,2024-02-01,0.0
1071820,2023-12-01,0.0
1071820,2024-01-01,0.0
1071820,2024-02-01,0.0
1041238,2023-12-01,0.0
1041238,2024-01-01,0.0
1041238,2024-02-01,0.0
1017619,2023-12-01,452.0
1017619,2024-01-01,415.0
1017619,2024-02-01,419.0
1024346,2023-12-01,37.0
1024346,2024-01-01,41.0
1024346,2024-02-01,40.0
1032034,2023-12-01,438.0
1032034,2024-01-01,456.0
1032034,2024-02-01,475.0
1331795,2023-12-01,73.0
1331795,2024-01-01,75.0
1331795,2024-02-01,78.0
1279016,2023-12-01,0.0
1279016,2024-01-01,0.0
1279016,2024-02-01,0.0
1279017,2023-12-01,5.0
1279017,2024-01-01,5.0
1279017,2024-02-01,4.0
1043246,2023-12-01,103.0
1043246,2024-01-01,102.0
1043246,2024-02-01,103.0
1274099,2023-12-01,54.0
1274099,2024-01-01,55.0
1274099,2024-02-01,52.0
1039026,2023-12-01,80.0
1039026,2024-01-01,74.0
1039026,2024-02-01,67.0
1027167,2023-12-01,0.0
1027167,2024-01-01,0.0
1027167,2024-02-01,0.0
1027169,2023-12-01,12.0
1027169,2024-01-01,9.0
1027169,2024-02-01,21.0
1034608,2023-12-01,33.0
1034608,2024-01-01,38.0
1034608,2024-02-01,34.0
1000774,2023-12-01,352.0
1000774,2024-01-01,339.0
1000774,2024-02-01,359.0
1276652,2023-12-01,8.0
1276652,2024-01-01,8.0
1276652,2024-02-01,7.0
1276654,2023-12-01,73.0
1276654,2024-01-01,78.0
1276654,2024-02-01,73.0
1036598,2023-12-01,79.0
1036598,2024-01-01,64.0
1036598,2024-02-01,65.0
1279018,2023-12-01,109.0
